0.1 0.0904837 0.0904837
0.2 0.163746 0.163746
0.3 0.222245 0.222245
0.4 0.268128 0.268128
0.5 0.303265 0.303265
0.6 0.329287 0.329287
0.7 0.34761 0.34761
0.8 0.359463 0.359463
0.9 0.365913 0.365913
1 0.367879 0.367879
1.1 0.366158 0.366158
1.2 0.361433 0.361433
1.3 0.354291 0.354291
1.4 0.345235 0.345236
1.5 0.334695 0.334695
1.6 0.323034 0.323034
1.7 0.310561 0.310562
1.8 0.297537 0.297538
1.9 0.28418 0.28418
2 0.27067 0.270671
2.1 0.257158 0.257158
2.2 0.243766 0.243767
2.3 0.230594 0.230595
2.4 0.217722 0.217723
2.5 0.205211 0.205212
2.6 0.19311 0.193111
2.7 0.181454 0.181455
2.8 0.170267 0.170268
2.9 0.159566 0.159567
3 0.14936 0.149361
3.1 0.139651 0.139653
3.2 0.130437 0.130439
3.3 0.121712 0.121714
3.4 0.113467 0.113469
3.5 0.105688 0.105691
3.6 0.0983629 0.0983654
3.7 0.0914743 0.091477
3.8 0.085006 0.0850089
3.9 0.0789403 0.0789435
4 0.0732592 0.0732626
4.1 0.0679443 0.067948
4.2 0.0629775 0.0629814
4.3 0.0583406 0.0583448
4.4 0.0540158 0.0540203
4.5 0.0499856 0.0499905
4.6 0.0462332 0.0462384
4.7 0.0427422 0.0427478
4.8 0.0394967 0.0395028
4.9 0.0364817 0.0364883
5 0.0336827 0.0336897
5.1 0.0310858 0.0310934
5.2 0.028678 0.0286861
5.3 0.0264466 0.0264554
5.4 0.02438 0.0243895
5.5 0.022467 0.0224772
5.6 0.0206969 0.020708
5.7 0.01906 0.019072
5.8 0.0175468 0.0175598
5.9 0.0161487 0.0161627
6 0.0148573 0.0148725
6.1 0.013665 0.0136815
6.2 0.0125646 0.0125825
6.3 0.0115494 0.0115687
6.4 0.010613 0.010634
6.5 0.00974962 0.00977235
6.6 0.00895377 0.00897843
6.7 0.00822035 0.00824711
6.8 0.00754462 0.00757367
6.9 0.00692218 0.00695372
7 0.00634892 0.00638317
7.1 0.00582103 0.00585824
7.2 0.00533498 0.00537542
7.3 0.00488747 0.00493143
7.4 0.00447547 0.00452327
7.5 0.00409614 0.00414813
7.6 0.00374687 0.00380343
7.7 0.00342522 0.00348677
7.8 0.00312894 0.00319593
7.9 0.00285594 0.00292887
8 0.00260428 0.0026837
8.1 0.00237216 0.00245867
8.2 0.00215792 0.00225216
8.3 0.00196 0.00206269
8.4 0.00177697 0.00188889
8.5 0.00160748 0.00172948
8.6 0.0014503 0.00158331
8.7 0.00130425 0.0014493
8.8 0.00116825 0.00132645
8.9 0.00104128 0.00121386
9 0.00092239 0.00111069
9.1 0.000810679 0.00101616
9.2 0.000705297 0.000929562
9.3 0.000605437 0.000850245
9.4 0.000510332 0.000777606
9.5 0.000419248 0.000711092
9.6 0.000331474 0.000650196
9.7 0.000246327 0.00059445
9.8 0.000163136 0.000543426
9.9 8.12437e-05 0.000496729
