2.34 	 0.288983 
2.35 	 0.286107 
2.36 	 0.283261 
2.37 	 0.280442 
2.38 	 0.277652 
2.39 	 0.274889 
2.4 	 0.272154 
2.41 	 0.269446 
2.42 	 0.266765 
2.43 	 0.26411 
2.44 	 0.261483 
2.45 	 0.258881 
2.46 	 0.256305 
2.47 	 0.253755 
2.48 	 0.25123 
2.49 	 0.24873 
2.5 	 0.246255 
2.51 	 0.243805 
2.52 	 0.241379 
2.53 	 0.238977 
2.54 	 0.236599 
2.55 	 0.234245 
2.56 	 0.231914 
2.57 	 0.229607 
2.58 	 0.227322 
2.59 	 0.22506 
2.6 	 0.222821 
2.61 	 0.220604 
2.62 	 0.218409 
2.63 	 0.216235 
2.64 	 0.214084 
2.65 	 0.211954 
2.66 	 0.209845 
2.67 	 0.207757 
2.68 	 0.205689 
2.69 	 0.203643 
2.7 	 0.201617 
2.71 	 0.19961 
2.72 	 0.197624 
2.73 	 0.195658 
2.74 	 0.193711 
2.75 	 0.191784 
2.76 	 0.189875 
2.77 	 0.187986 
2.78 	 0.186116 
2.79 	 0.184264 
2.8 	 0.18243 
2.81 	 0.180615 
2.82 	 0.178818 
2.83 	 0.177039 
2.84 	 0.175277 
2.85 	 0.173533 
2.86 	 0.171806 
2.87 	 0.170097 
2.88 	 0.168404 
2.89 	 0.166729 
2.9 	 0.16507 
2.91 	 0.163427 
2.92 	 0.161801 
2.93 	 0.160191 
2.94 	 0.158597 
2.95 	 0.157019 
2.96 	 0.155457 
2.97 	 0.15391 
2.98 	 0.152379 
2.99 	 0.150862 
3 	 0.149361 
3.01 	 0.147875 
3.02 	 0.146404 
3.03 	 0.144947 
3.04 	 0.143505 
3.05 	 0.142077 
3.06 	 0.140663 
3.07 	 0.139263 
3.08 	 0.137878 
3.09 	 0.136506 
3.1 	 0.135148 
3.11 	 0.133803 
3.12 	 0.132472 
3.13 	 0.131153 
3.14 	 0.129848 
3.15 	 0.128556 
3.16 	 0.127277 
3.17 	 0.126011 
3.18 	 0.124757 
3.19 	 0.123516 
3.2 	 0.122287 
3.21 	 0.12107 
3.22 	 0.119865 
3.23 	 0.118672 
3.24 	 0.117492 
3.25 	 0.116323 
3.26 	 0.115165 
3.27 	 0.114019 
3.28 	 0.112885 
3.29 	 0.111762 
3.3 	 0.11065 
3.31 	 0.109549 
3.32 	 0.108458 
3.33 	 0.107379 
3.34 	 0.106311 
3.35 	 0.105253 
3.36 	 0.104206 
3.37 	 0.103169 
3.38 	 0.102142 
3.39 	 0.101126 
3.4 	 0.10012 
3.41 	 0.0991236 
3.42 	 0.0981373 
3.43 	 0.0971608 
3.44 	 0.0961941 
3.45 	 0.0952369 
3.46 	 0.0942893 
3.47 	 0.0933511 
3.48 	 0.0924222 
3.49 	 0.0915026 
3.5 	 0.0905922 
3.51 	 0.0896907 
3.52 	 0.0887983 
3.53 	 0.0879147 
3.54 	 0.08704 
3.55 	 0.0861739 
3.56 	 0.0853165 
